id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/warrantyScope,warrantyScope,I,3,3,augments,warrantyScope,The scope of the warranty promise.,,,Warranty,thing,http://schema.org/WarrantyPromise,http://schema.org/WarrantyScope,,
http://schema.org/workExample,workExample,I,3,3,augments,workExample,"Example/instance/realization/derivation of the concept of this creative work. eg. The paperback edition, first edition, or eBook.",exampleOfWork,,ConceptualWork,thing,http://schema.org/CreativeWork,http://schema.org/CreativeWork,"http://schema.org/appearance, http://schema.org/firstAppearance",
http://schema.org/releasedEvent,releasedEvent,R,1,1,equivalences,releasedEvent,"The place and time the release was issued, expressed as a PublicationEvent.",,,ConceptualWork,thing,http://schema.org/CreativeWork,http://schema.org/PublicationEvent,,
http://schema.org/equal,equal,R,1,1,equivalencesData,equal,This ordering relation for qualitative values indicates that the subject is equal to the object.,,,Equivalences,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/greater,greater,R,1,1,equivalencesData,greater,This ordering relation for qualitative values indicates that the subject is greater than the object.,,,Comparisons,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/greaterOrEqual,greaterOrEqual,R,1,1,equivalencesData,greaterOrEqual,This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.,,,Comparisons,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/lesser,lesser,R,1,1,equivalencesData,lesser,This ordering relation for qualitative values indicates that the subject is lesser than the object.,,,Comparisons,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/lesserOrEqual,lesserOrEqual,R,1,1,equivalencesData,lesserOrEqual,This ordering relation for qualitative values indicates that the subject is lesser than or equal to the object.,,,Comparisons,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/nonEqual,nonEqual,R,1,1,equivalencesData,nonEqual,This ordering relation for qualitative values indicates that the subject is not equal to the object.,,,Equivalences,string,http://schema.org/QualitativeValue,http://schema.org/QualitativeValue,,
http://schema.org/sameAs,sameAs,R,1,1,equivalencesData,sameAs,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.",,,Thing,anyURI,http://schema.org/Thing,http://schema.org/URL,,
http://schema.org/blogPost,blogPost,R,1,2,partsOf,blogPost,A posting that is part of this blog.,blogPosts,,Weblog,thing,http://schema.org/Blog,http://schema.org/BlogPosting,,
http://schema.org/blogPosts,blogPosts,R,1,2,partsOf,blogPosts,The postings that are part of this blog.,,,Weblog,thing,http://schema.org/Blog,http://schema.org/BlogPosting,,
http://schema.org/catalog,catalog,R,1,2,partsOf,catalog-schema,A data catalog which contains this dataset.,,,Dataset,thing,http://schema.org/Dataset,http://schema.org/DataCatalog,,
http://schema.org/dataFeedElement,dataFeedElement,R,1,2,partsOf,dataFeedElement,An item within in a data feed. Data feeds may have many elements.,,,DataStream,thing,http://schema.org/DataFeed,"http://schema.org/DataFeedItem, http://schema.org/Text, http://schema.org/Thing",,
http://schema.org/encodesCreativeWork,encodesCreativeWork,R,1,2,partsOf,encodesCreativeWork,The CreativeWork encoded by this media object.,,,MediaObject,thing,http://schema.org/MediaObject,http://schema.org/CreativeWork,,
http://schema.org/episode,episode,R,1,2,partsOf,episode,"An episode of a tv, radio or game media within a series or season.",episodes,,CalendarSeasonType,thing,"http://schema.org/CreativeWorkSeason, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGameSeries",http://schema.org/Episode,,http://schema.org/hasPart
http://schema.org/episodes,episodes,R,1,2,partsOf,episodes,An episode of a TV/radio series or season.,,,CalendarSeasonType,thing,"http://schema.org/CreativeWorkSeason, http://schema.org/RadioSeries, http://schema.org/TVSeries, http://schema.org/VideoGameSeries",http://schema.org/Episode,,
http://schema.org/gameItem,gameItem,R,1,2,partsOf,gameItem,"An item is an object within the game world that can be collected by a player or, occasionally, a non-player character.",,,ComputerGameProgram-Graphical||VideoGameSeries ,thing,"http://schema.org/Game, http://schema.org/VideoGameSeries",http://schema.org/Thing,,
http://schema.org/hasMenuItem,hasMenuItem,R,1,2,partsOf,hasMenuItem,A food or drink item contained in a menu or menu section.,,,RestaurantMenu,thing,"http://schema.org/Menu, http://schema.org/MenuSection",http://schema.org/MenuItem,,
http://schema.org/hasMenuSection,hasMenuSection,R,1,2,partsOf,hasMenuSection,"A subgrouping of the menu (by dishes, course, serving time period, etc.).",,,RestaurantMenu,thing,"http://schema.org/Menu, http://schema.org/MenuSection",http://schema.org/MenuSection,,
